TIME      DELTA         INSNs   OPERATION
frequency 10
0         [+0]          [+   1] 7f7ab0a14cc0
                        [+ 124]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 170]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 140]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 162]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 180]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+  78]                                                                                                                 7f7ab0a1de0c -> 7f7ab0a257b0
                        [+   7]                                                                                                                     7f7ab0a257c0 -> 7f7ab0a2f930
                        [+   9]                                                                                                                     7f7ab0a257ef -> 7f7ab0a2f930
                        [+  55]                                                                                                                 7f7ab0a1de0c -> 7f7ab0a257b0
                        [+   7]                                                                                                                     7f7ab0a257c0 -> 7f7ab0a2f930
                        [+   9]                                                                                                                     7f7ab0a257ef -> 7f7ab0a2f930
                        [+ 113]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  29]                                                                                                                     7f7ab0a1db6b -> 7f7ab0a2f930
                        [+  20]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 108]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 170]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 180]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 162]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 180]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 170]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 172]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 162]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 132]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 178]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 260]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 162]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
775690    [+775690]     [+   3]                                                                                                                     7f7ab0a1dc4c
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 228]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 178]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 132]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 170]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 148]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 162]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
